CASE_NUMBER,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,PRIMARY_CROP,NAIC_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDU,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQ,NUM_MONTHS_TRAINING,NAME_REQD_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,ORGANIZATION_FLAG,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
H-300-15146-792745,2015-06-25,H-2A,2015-05-26,DETERMINATION ISSUED - CERTIFICATION,2015-08-05,2016-02-01,RX3 LLC,15825 Old Pike Road,,Dearborn,MO,64439,UNITED STATES OF AMERICA,,816-450-3547,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and","row crop produce, greenhouse nursery, alt work,etc",423930,4,4,Y,Seasonal,35,08:00 AM,04:00 PM,12.62,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,DEARBORN,MO,64439,Y,Association - Filing as Agent (H-2A Only),"MO Dept. of Economic Development, Div. of Workforce Development",11238247,2015-05-22,2015-11-03
H-300-13084-209409,2014-10-29,H-2A,2014-10-02,DETERMINATION ISSUED - CERTIFICATION,2014-12-01,2015-11-30,Diamond Sheep Company/Dominique Minaberrigarai,"7932 Stine Rd, Bakersfield, CA 93303 (Physical Address)","PO Box 1845, Bakersfield, CA 93313 (Mailing Address)",Bakersfield,CA,93303,UNITED STATES OF AMERICA,N/A,661-978-4214,0,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheepherder,,6,6,Y,Seasonal,60,12:00 AM,12:00 PM,1600.34,Month,,,N,,None,N/A,N/A,N,,N,,,Y,6,Bakersfield,CA,93303,Y,Association - Filing as Agent (H-2A Only),California State Workforce Agency,CA14181430,2014-09-17,2015-06-01
H-300-15126-908987,2015-06-10,H-2A,2015-05-06,DETERMINATION ISSUED - CERTIFICATION,2015-07-15,2016-01-15,Davenport Farms of KY LLC,5306 Hwy 1464,,Greensburg,KY,42743,UNITED STATES OF AMERICA,,270-932-5662,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and","burley dark fired & air cured tobacco, alternative",423930,4,4,Y,Seasonal,40,08:00 AM,04:00 PM,10.28,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,GREENSBURG,KY,42743,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",KY0589455,2015-05-05,2015-10-15
H-300-15036-494800,2015-03-13,H-2A,2015-02-05,DETERMINATION ISSUED - CERTIFICATION,2015-04-01,2015-12-01,Grohs Farms Partnership,509 Slocum Ave S,,Wessington Springs,SD,57382,UNITED STATES OF AMERICA,,605-539-1266,,Placement Services Global,Kellie Sutton,Gower,MO,Farm Worker General,45-2091,Agricultural Equipment Operators,"Silage, Corn",,3,3,Y,Seasonal,48,08:00 AM,05:00 PM,13.59,Hour,,,N,,None,,,N,,N,,,Y,3,Kimball,SD,5735,N,Individual Employer,DLR Huron Office,1684467,2015-02-02,2015-08-01
H-300-14111-837883,2015-04-15,H-2A,2015-03-16,DETERMINATION ISSUED - CERTIFICATION,2015-05-05,2015-12-31,MELBY CUSTOM CONTRACTING INC.,2815 W. WILLIAM LANE,,SAN TAN VALLEY,AZ,85142,UNITED STATES OF AMERICA,,480-440-5650,,,,,,farm worker- grain 1,45-2091,Agricultural Equipment Operators,Custom Combine - Grain & Oilseed Crops,,4,4,Y,Seasonal,48,07:00 AM,03:00 PM,10.54,Hour,,,N,,High School/GED,n/a,n/a,N,,N,,,Y,3,florence,AZ,85132,Y,Individual Employer,arizona,1483597,2015-03-04,2015-09-02
H-300-14252-590151,2014-10-20,H-2A,2014-10-02,DETERMINATION ISSUED - CERTIFICATION,2014-12-01,2015-11-30,Jon & Ryan Cook Ranch/Jon & Ryan Cook,"50 East 300 South, Fountain Green, UT 84632 (Physical Address)","PO Box 177, Fountain Green, UT 84632 (Mailing Address)",Fountain Green,UT,84632,UNITED STATES OF AMERICA,N/A,435-445-3272,0,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheepherding,,3,3,Y,Seasonal,60,12:00 AM,12:00 PM,750,Month,,,N,,None,N/A,N/A,N,,N,,,Y,6,Fountain Green,UT,84632,Y,Association - Filing as Agent (H-2A Only),Utah State Workforce Agency,UT9628483,2014-09-19,2015-06-01
H-300-14266-263025,2014-10-14,H-2A,2014-09-23,DETERMINATION ISSUED - CERTIFICATION,2014-11-15,2015-06-15,"G.M. HARVESTING, INC.",315 NICHELE BLVD.,,LAKE PLACID,FL,33852,UNITED STATES OF AMERICA,,863-441-0831,,Florida Fruit & Vegetable Association,Christine Synan,MAITLAND,FL,Citrus/Blueberry Hand Harvester,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Early-Mid(Process),,199,199,Y,Seasonal,36,07:00 AM,02:00 PM,10.26,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Lorida,FL,33857,Y,Association - Filing as Agent (H-2A Only),Department of Economic Opportunity,FL9940137,2014-09-23,2015-03-01
H-300-14261-855713,2014-10-29,H-2A,2014-09-19,DETERMINATION ISSUED - CERTIFICATION,2014-12-01,2015-09-01,Paul Wes Bertrand,416 North Ave. K.,,Crowley,LA,70526,UNITED STATES OF AMERICA,,337-316-0564,,"Shelly Bieber, LLC",Shelly Bieber,Mamou,LA,General Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Rice,,3,3,Y,Seasonal,40,07:00 AM,03:00 PM,9.87,Hour,,,N,,None,,,N,,N,,,N,,Crowley,LA,70526,N,Individual Employer,La. Dept. of Labor,505341,2014-09-17,2015-04-17
H-300-14358-302826,2015-01-22,H-2A,2014-12-29,DETERMINATION ISSUED - CERTIFICATION,2015-02-16,2015-12-07,Chapman Sod LLC,P.O. Box 207,25455 Hwy 1,Inman,SC,29349,UNITED STATES OF AMERICA,,864-472-0299,,National Agricultural Consultants LLC,Theresa Ward,Vass,NC,Farmworker; Diversified,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Cattle,,6,6,Y,Seasonal,40,07:00 AM,03:00 PM,10,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Inman,SC,39349,Y,Individual Employer,South Carolina Department of Employment & Workforce,600153,2014-12-17,2015-07-13
H-300-15020-902067,2015-02-27,H-2A,2015-01-21,DETERMINATION ISSUED - CERTIFICATION,2015-04-01,2015-12-20,"HARMONY VALLEY FARM, LLC",S3442 WIRE HOLLOW ROAD,,VIROQUA,WI,54665,UNITED STATES OF AMERICA,,608-483-2143,1,,,,,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",rutabagas,,38,38,Y,Seasonal,40,08:00 AM,05:00 PM,11.56,Hour,,,N,,None,,,N,,N,,,Y,3,Viroqua,WI,54665,N,Individual Employer,Wisconsin Department of Workforce Development,1638625,2015-01-20,2015-08-10
