CASE_NUMBER,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,PRIMARY/SUB,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,PRIMARY_CROP,NAIC_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDU,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQ,NUM_MONTHS_TRAINING,NAME_REQD_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,ORGANIZATION_FLAG,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
H-300-13038-301403,2016-02-10,H-2A,2016-01-28,DETERMINATION ISSUED - CERTIFICATION,2016-03-15,2016-11-15,PRI,"ARNOLD FARMS, LLC",219 DOUBLE CREEK POINT ROAD,,CHESTERTOWN,MD,21620,UNITED STATES OF AMERICA,,410-708-5000,,,,,,"Farmworkers, Laborers, Crop, Nursery, and Greenhouse",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Fruits and Vegetables,,18,18,Y,Seasonal,35,08:30 AM,04:00 PM,$11.66,Hour,,,N,,None,,,N,,N,,,Y,3,Chestertown,MD,21620,N,Individual Employer,Kent County Career Center,370472,2016-01-14,2016-07-16
H-300-14323-357885,2015-11-04,H-2A,2014-11-19,DETERMINATION ISSUED - WITHDRAWN,2015-01-03,2015-07-15,PRI,"Cleveland Thibodeaux, Jr.",501 T-Burbank,,Rayne,LA,70578,UNITED STATES OF AMERICA,Acadia Parish,337-652-3258,,"Crawdadddy Labor Services, LLC (CLS)",Kelly Broussard (CLS Manager),Rayne,LA,GENERAL FARMWORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Crawfish,,2,0,Y,Seasonal,40,07:00 AM,04:00 PM,$9.87,Hour,,,N,,None,,,N,,N,,,Y,3,Rayne,LA,70578,Y,Individual Employer,Louisiana Worforce Commission,LA 510019,2015-01-02,2015-07-15
H-300-15028-854772,2016-01-28,H-2A,2015-12-21,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-02-16,2016-08-16,PRI,LOUISIANA AQUACULTURE INVESTMENTS,P. O. BOX 66312,8017 JEFFERSON HWY. SUITE A-4,BATON ROUGE,LA,70896,UNITED STATES OF AMERICA,,225-928-1822,,,,,,Laborer Aquatic Life,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Crawfish,,12,12,Y,Seasonal,40,08:00 AM,05:00 PM,$10.18,Hour,,,N,,None,,,N,,N,,,N,,Palmetto,LA,713582571,N,Individual Employer,Louisiana Works,589497,2015-12-17,2016-05-17
H-300-15029-124250,2016-01-28,H-2A,2015-12-31,DETERMINATION ISSUED - CERTIFICATION,2016-03-01,2016-11-01,PRI,"Glenn Dale Ranches, Inc.",4275 N. 1900 E.,1850 E 4300 N,Buhl,ID,83316,UNITED STATES OF AMERICA,,208-543-6004,,SNAKE RIVER FARMERS ASSOCIATION INC,Betsy Parkin,HEYBURN,ID,Farm/Irrigation/Livestock Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Corn,,1,1,Y,Seasonal,48,08:00 AM,05:00 PM,$11.75,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,0,Buhl,ID,83316,Y,Individual Employer,ID Dept. of Commerce and Labor / Alien Labor Unit,622342,2015-12-24,2016-07-01
H-300-15170-593568,2015-10-29,H-2A,2015-06-19,DETERMINATION ISSUED - DENIED,2015-07-06,2015-11-30,PRI,JW Produce Inc,303 Salinas Rd,,Watsonville,CA,95076,UNITED STATES OF AMERICA,,831-761-9222,,,,,,Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Beets,4239,20,0,Y,Seasonal,40,07:00 AM,03:00 PM,$11.86,Hour,,,N,,None,,,N,,N,,,N,,Chowchilla,CA,93610,N,Individual Employer,,,,
H-300-15207-198909,2015-10-07,H-2A,2015-07-26,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2015-08-01,2015-11-01,PRI,"Troy Kuck Silage Harvesting, LLC",73388 Road 437,,Bertrand,NE,68927,UNITED STATES OF AMERICA,,308-991-2979,,SOUTHERN IMPACT,LESLI DOWNS,TULSA,OK,Farmworker,45-2091,Agricultural Equipment Operators,Grains,,5,5,Y,Seasonal,48,08:00 AM,05:00 PM,$13.59,Hour,,,N,,None,,,N,,N,,,Y,3,Bertrand,NE,68927,Y,H-2A Labor Contractor or Job Contractor,NE DOL,293062,2015-07-29,2015-09-17
H-300-15208-604726,2015-10-01,H-2A,2015-07-27,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2015-10-06,2016-06-30,PRI,Franco Medina,4217 W 7th St,"P.O. Box 51223 Fort Myers, FL 33994",Lehigh Acres,FL,33971,UNITED STATES OF AMERICA,,239-229-0978,,"CCH BOOKKEEPING, INC.",YOLANDA CELAYA,LAKE PLACID,FL,Harvest worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Bell Peppers,,30,30,Y,Seasonal,36,07:30 AM,01:30 PM,$10.19,Hour,,,N,,None,,,N,,N,,,N,,Clewiston,FL,33440,Y,H-2A Labor Contractor or Job Contractor,Department of Economic Oportunity,10057913,2015-07-24,2016-02-10
H-300-15212-537583,2015-10-14,H-2A,2015-07-31,DETERMINATION ISSUED - DENIED,2015-09-13,2015-12-31,PRI,McClure Custom Pumping LLC,541 160th Ave,,Kirkwood,IL,61447,UNITED STATES OF AMERICA,,309-255-1458,,GOLDEN OPPORTUNITIES INTERNATIONAL LLC,CHARLES MERKEL,MCGREGOR,IA,Farm Machine Operator,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operator,,6,0,Y,Seasonal,40,08:00 AM,05:00 PM,$11.61,Hour,,,N,,High School/GED,NA,NA,N,,N,,,N,,Kirkwood,IL,61447,Y,H-2A Labor Contractor or Job Contractor,Illinois Department of Employment Security,2953147,2015-07-20,2015-11-07
H-300-15213-980714,2015-10-28,H-2A,2015-08-01,DETERMINATION ISSUED - WITHDRAWN,2015-10-15,2016-07-30,PRI,Lorenzo Gabriel Marquez,707 Blevins St,,Hereford,TX,79045,UNITED STATES OF AMERICA,,520-508-3753,,"FOREMEN, INC",JESUS LEON,PHOENIX,AZ,General farm laborer,45-2099,"Agricultural Workers, All Other",General Farmworker,,8,0,Y,Seasonal,40,06:00 AM,03:00 PM,$10.35,Hour,,,N,,None,,,N,,N,,,N,,Hereford,TX,79045,N,Individual Employer,Texas Workforce Commission,,,
H-300-15222-293562,2015-10-07,H-2A,2015-08-11,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2015-10-15,2015-12-06,PRI,LAUREL FORK CHRISTMAS TREES,301 BOWER RIDGE RD,,JEFFERSON,NC,28640,UNITED STATES OF AMERICA,,336-846-3330,,FARMERS AID AMERICA,CAROL SCHICK,OCALA,FL,FARMWORKERS  & LABORERS,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Christmas Trees,423930,8,8,Y,Seasonal,40,07:30 AM,04:30 PM,$10.32,Hour,,,N,,None,,,N,,N,,,N,3,LAUREL SPRINGS,NC,28644,Y,Individual Employer,WORKFORCE SOLUTIONS NORTH CAROLINA DEPARTMENT OF COMMERCE,10404415,2015-08-03,2015-11-10
